Display Name,Username,Tweet Text,Promoted
World Rugby,@WorldRugby,". @englandrugby star @sarah_hunter8 tries out the Shane Williams Handoff Challenge at the World Rugby Hall of Fame in Rugby, UK.

Try it yourself to win special #WorldRugbyHOF merchandise, and a chance to win a signed Wales jersey! 
Video Src: blob:https://twitter.com/27a75659-f08e-4524-ac5b-f335b271a501",False
Malakai Fekitoa,@MalakaiFekitoa,"Come onnnnnn boys chehoooooo  
Video Src: https://video.twimg.com/tweet_video/EPJDQVkXsAAztCs.mp4",False
Rugby World,@Rugbyworldmag,"Still don't know when, where and at what time all the 2020 Six Nations action starts? We've got you covered... http://expi.co/01nd2j 
Attachment: https://t.co/Oa9a60t6KK?amp=1
Photo Src: https://pbs.twimg.com/media/EPIqoPHW4AAu8jo?format=png&name=small",False
Nick Mullins,@andNickMullins,"A last chance to bank Prem points for three weeks. Lord Charles of Clifton, @Cpiutau , is with us later. Bris V Glos, 2.30pm @btsportrugby ",False
James Gemmell,@JamesGemmell_TV,"Thanks for promoting this, Rupes. Razor sharp analysis of a pressing issue in media and broadcasting, summed up by the sacking of one of rugby’s good guys. ",False
Rugby World,@Rugbyworldmag,"With the Six Nations kicking off in a week, why not treat yourself to a Rugby World subscription? For a limited time you can get six issues for just £6 – find all the details here http://magazinesdirect.com/YRW/ASD9?utm_medium=Textlink&utm_source=Social+Media&utm_campaign=YRW+JANX19+Social… 
Attachment: https://t.co/bZZpJAjdgd?amp=1
Photo Src: https://pbs.twimg.com/media/EPHfjjEW4AAl5Ju?format=jpg&name=small",False
Sky Sport NZ,@skysportnz,"The powerhouse Josh McKay: Could he be the next @SuperRugbynz superstar?  Catch him in action with @Highlanders when the Super Rugby 2020 kicks off – Friday 31st Jan at the new time of 7.05pm! 
Video Src: blob:https://twitter.com/40009fe3-44e7-4404-a2e5-c721e5a8e1f2",False
Super Rugby,@SuperRugbyNZ," ICYMI | @BluesRugbyTeam finish their pre-season campaign unbeaten and @crusadersrugby make a big statement in Wanaka.

READ   http://bit.ly/2TWPMEq  #SuperRugby 
Attachment: https://t.co/yxklspzVeq?amp=1
Photo Src: https://pbs.twimg.com/media/EPHGH-VU8AUE_CP?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPHGH-fU4AEwbqh?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPHGH-VUcAAZ7Hd?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPHGH-aUEAEgMq0?format=jpg&name=360x360",False
Hurricanes Rugby,@Hurricanesrugby,"Class Of      #25Seasons  @SuperRugbyNZ Opening Night | http://ticketrocket.co.nz/event/details/198526/hurricanes-vs-sharks… 
Attachment: https://t.co/4wpkmmfWBO?amp=1
Photo Src: https://pbs.twimg.com/media/EPHDzd_U0AUiZ1o?format=jpg&name=small",False
Super Rugby,@SuperRugbyNZ," What's so special about 7.05pm this season? It's kick off time! #RugbyRecoded 
Video Src: blob:https://twitter.com/381d6a4e-118b-44bd-9592-01e0f5a6cf0f",False
Beauden Barrett,@beaudenbarrett,"Vinaka vakalevu, see you soon  
Photo Src: https://pbs.twimg.com/media/EPGeXUdVAAAf55D?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPGeXU2U4AAbu0d?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EPGeXWVU4AE89vP?format=jpg&name=360x360",False
World Rugby,@WorldRugby,"#TBT Émile Ntamack '96  Where does he rank among @FranceRugby 's greatest players? 
Photo Src: https://pbs.twimg.com/media/EO98ZktWoAA5DTo?format=jpg&name=small",False
Rugby World,@Rugbyworldmag,"Scotland's Six Nations prep rocked as Finn Russell sent home from camp for 'breach of team protocol' https://rugbyworld.com/news/finn-russell-leaves-scotland-six-nations-camp-after-breach-of-team-protocol-106775… 
Attachment: https://t.co/FLtNS8JmwN?amp=1
Photo Src: https://pbs.twimg.com/media/EO-IeKKWoAA_-Hv?format=png&name=small",False
World Rugby,@WorldRugby,"Caption this   #SixNations 
Photo Src: https://pbs.twimg.com/media/EO94zc-WkAYJ1so?format=jpg&name=small",False
World Rugby,@WorldRugby,"Missed sevens? We've got you covered.

Get up to speed on all the action so far ahead of the #NZSevens this coming weekend ",False
Beauden Barrett,@beaudenbarrett,"Sashimi Poke bowls for dinner   #yellowfintuna 
Photo Src: https://pbs.twimg.com/media/EO9GeJrU0AAWtli?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EO9GeJsVAAAVp3P?format=jpg&name=360x360",False
Hurricanes Rugby,@Hurricanesrugby,"Class Of 1998 #25Seasons  @SuperRugbyNZ Opening Night | http://ticketrocket.co.nz/event/details/198526/hurricanes-vs-sharks… 
Attachment: https://t.co/4wpkmmfWBO?amp=1
Photo Src: https://pbs.twimg.com/media/EO8kNOyVAAEk8hO?format=jpg&name=small",False
The Blues,@BluesRugbyTeam,"Patrick Tuipulotu got to throw the first pitch at the @AucklandTuatara game tonight! #Strike  #BluesAllDay 
Photo Src: https://pbs.twimg.com/media/EO8gVZPUYAEyF9F?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EO8gVZRUcAA4u0f?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EO8gVZQUYAIToSa?format=jpg&name=360x360
Photo Src: https://pbs.twimg.com/media/EO8gVZmVUAA4NTS?format=jpg&name=360x360",False
The Blues,@BluesRugbyTeam,"Luke Braid made his Blues debut in 2011, earning MVP that year and again in 2013. Luke Braid was named captain for the 2014 season, representing the Blues 70 times in total. #25seasons  #BluesAllDay  #WhateverItTakes 
Photo Src: https://pbs.twimg.com/media/EO8QU5GU0AAks7J?format=jpg&name=900x900",False
Cassidy Hubbarth,@CassidyHubbarth,"OMG zion, ok Zion, damn zion and bro Zion are all trending...

Yup that pretty much sums it up. ",False
Sky Sport NZ,@skysportnz,"Who has the greatest speed/strength/passing/tackling/kicking/power/sidestep/rugby knowledge/hair?! We asked the players to help build 'The Greatest' @SuperRugbyNZ player of all time  Who would you pick?   #rugbyrecoded  #superrugby 
Video Src: blob:https://twitter.com/5283ceea-8aba-4bf5-a725-08dc864896ec",False
